id,details
SEC_PREAMBLE,[TOP SECRET // CBI & RBI JOINT TASK FORCE] OPERATION BIG BULL: 1992 SECURITIES SCAM COMPREHENSIVE DOSSIER PIPELINE VERSION: 4.0.1 (Archival Edition) STATUS: CLASSIFIED / EVIDENCE LOGGED
EXECUTIVE_INTELLIGENCE_SUMMARY,"SUBJECT: Harshad Shantilal Mehta (Alias: ""The Big Bull""). NATURE OF OFFENSE: Systemic financial fraud, criminal conspiracy, forgery, and market manipulation. ESTIMATED MAGNITUDE: Diversion of funds amounting to approximately ₹4,025 crore to ₹5,000 crore from the Indian banking system into the Bombay Stock Exchange (BSE). Adjusted for inflation, this figure translates to over ₹24,000 crore. MODUS OPERANDI: The subject exploited systemic loopholes in the inter-bank securities market, specifically manipulating Ready Forward (RF) deals and generating fake Bank Receipts (BRs). Banks were legally required to maintain a threshold of their assets in government securities (Statutory Liquidity Ratio or SLR). The subject squeezed capital out of the banking system by promising higher interest rates, convincing banks to issue cheques directly into his personal broker accounts rather than to counter-party banks. He utilized these funds to hyper-inflate targeted equities. MARKET IMPACT: The subject's aggressive purchasing catapulted stocks like Associated Cement Company (ACC), which was trading at roughly ₹200 per share in 1991, to nearly ₹9,000 within a few months—an increase of 4,400%. Other targeted stocks included Sterlite Industries and Videocon. When the scam was exposed on April 23, 1992, by journalist Sucheta Dalal in The Times of India, the market crashed. The Sensex plummeted from 4,467 points in April to 2,529 points by August 1992, wiping out over ₹100,000 crore in market capitalization."
FIRST_INFORMATION_REPORTS_FIRS__POLICE_LOGS,"FIR #1992/04/CBI-MUM (Economic Offences Wing)  COMPLAINANT: State Bank of India (SBI) Internal Audit Division.  DATE FILED: May 1992.  INCIDENT DETAILS: Preliminary internal audits conducted by SBI officials in early April 1992 revealed massive discrepancies in their Subsidiary General Ledger (SGL) accounts held with the Reserve Bank of India's Public Debt Office (PDO). A shortfall of approximately ₹500 crore was detected. Further investigation revealed that between July 1, 1991, and April 6, 1992, Harshad Mehta was involved in SBI transactions totaling over ₹17,000 crore, with funds credited directly to his account without corresponding SGL entries in SBI's books.  PRIME SUSPECTS: Harshad Mehta, R. Sitaraman (SBI Junior Officer).  FIR #1992/05/CBI-MUM (Economic Offences Wing)  COMPLAINANT: Standard Chartered Bank (SCB).  DATE FILED: June 1992.  INCIDENT DETAILS: SCB reported an unaccounted stock shortfall worth ₹300 crore. The bank paid money for securities but received neither the securities nor genuine BRs from counter-party banks. It was discovered that fraudulent BRs were signed by officials at the Bank of Karad (BOK) and Metropolitan Co-operative Bank (MCB).  PRIME SUSPECTS: Hiten Dalal (Broker), Bhupendra Dalal (Director, BOK), A.D. Narottam (Director, BOK), Kishan Kantilal Kapadia (Vice-President, MCB), Arvind Mohanlal (Chief Dealer, SCB).  FIR #1992/04/MUM-LOCAL-21 (Noise Data / Unrelated)  COMPLAINANT: Ramesh Kumar, civilian.  INCIDENT DETAILS: Complainant reports his Hero Honda Splendor motorcycle was scratched while parked illegally outside the BSE building on Dalal Street. Suspects a delivery truck. Officer dispatched; no CCTV available. Case marked low priority."
JANAKIRAMAN_COMMITTEE_INTERIM_FINDINGS_RBI,"Following the media exposé, the RBI appointed the Janakiraman Committee to probe the securities market irregularities.  FINDING 01: Multiple banks made payments for investments without holding actual Securities, SGL forms, or BRs.  FINDING 02: The exposure of the National Housing Bank (NHB) was calculated at ₹1271.20 crore (later adjusted in varying reports).  FINDING 03: Standard Chartered's exposure was calculated at ₹400.35 crore.  FINDING 04: The State Bank of Saurashtra was exposed to the tune of ₹174.93 crore.  FINDING 05: The scheme required banks willing to issue fake BRs—receipts not backed by any government securities. Two smaller banks, Bank of Karad and Metropolitan Co-operative Bank, were central to issuing these fraudulent instruments."
CALL_DETAIL_RECORDS_CDRS__PAGER_INTERCEPTS,"BEGIN LOG EXPORT: MSISDN +91-22XXXXX11 (Harshad Mehta - Worli Penthouse)  10-FEB-1992 | 09:15 HRS | CALL OUT: R. Sitaraman (SBI)  Transcript: ""Sitaraman, I need the temporary float today. Issue the SGL clearance for ₹50 Cr. I will cover the spread by Thursday.""  10-FEB-1992 | 11:30 HRS | CALL IN: M.J. Pherwani (NHB/BOK)  Transcript: ""We are routing the cheque directly to your Growmore account. Ensure the BRs from Karad reach us before the fortnightly reporting.""  10-FEB-1992 | 13:45 HRS | CALL OUT: Ashwin Mehta  Transcript: ""Pump ACC again. Manu Manek and the bear cartel are shorting heavily. They don't know our liquidity. Break their backs.""  10-FEB-1992 | 19:20 HRS | PAGER IN (NOISE): Jyoti Mehta  Message: ""DO NOT FORGET TO PICK UP THE DRY CLEANING ON YOUR WAY BACK. DINNER AT 9.""  BEGIN LOG EXPORT: MSISDN +91-22XXXXX99 (Bank of Karad - Backoffice)  15-MAR-1992 | 10:00 HRS | DATA SYNC: PRINTING_BATCH_BR_BOOKS_SERIES_4000  15-MAR-1992 | 12:15 HRS | CALL OUT: C.S. Raje (Manager, BOK) to Sudhakar Ail (Staff, BOK)  Transcript: ""Sign the BRs for ₹19.89 crore. No, we don't have the underlying securities. Just issue the cost memos and delivery orders to A.D. Narottam's account. The directors have cleared it.""  15-MAR-1992 | 13:40 HRS | CALL IN (NOISE): Unknown Caller  Transcript: ""Hello, is this the Karad branch? I need to check my fixed deposit rate. Ah, wrong department? Sorry.""  BEGIN LOG EXPORT: BSE TRADING RING - BEAR CARTEL (Wiretap)  04-APR-1992 | 10:15 HRS | CALL OUT: Manu Manek to Ajay Kayan  Transcript: ""Big Bull is buying Apollo Tyres and Sterlite. Where is he getting the cash? Short it. Short everything. He can't absorb this.""  04-APR-1992 | 14:45 HRS | CALL IN: Bear Syndicate Sub-broker  Transcript: ""Manu bhai, he just absorbed all of it. TISCO and Videocon are hitting upper circuits. We are bleeding. We have to cover our positions."""
FIELD_SURVEILLANCE_REPORTS,"SURVEILLANCE LOG: TANGO-1 (Subject: Harshad Mehta, Location: Worli Sea Face)  DATE: 20-APR-1992  08:30 HRS: Subject departs Madhuli apartment complex in a white Toyota Lexus. Note: Vehicle is highly unusual for a broker; verified imported.  09:15 HRS: Subject arrives at Growmore Research and Asset Management office at Maker Chambers.  11:00 HRS: Unknown individual carrying a briefcase enters the premises. Identified later as a courier from Bank of Karad.  13:20 HRS (NOISE): A delivery boy from a local Udipi restaurant drops off 12 plates of Pav Bhaji at the Growmore office.  16:45 HRS: Subject meets with K. Margabandhu (UCO Bank) in a private room at the Taj Mahal Palace Hotel.  SURVEILLANCE LOG: TANGO-2 (Subject: Standard Chartered Bank HQ)  DATE: 22-MAY-1992  10:00 HRS: Heavy panic observed on the floor. Arvind Mohanlal (Chief Dealer) and Jaideep Jagdish Pathak (Manager) are seen shredding documents.  14:30 HRS: Hiten Dalal (Broker) enters the bank. Intercepted audio confirms he promised to hand over bank receipts for the ₹300 crore shortfall.  15:00 HRS (NOISE): Maintenance crew arrives to fix a leaking AC duct in the lobby. Work lasts for two hours, causing minor disruptions to staff movement."
FINANCIAL__FORENSIC_TRANSACTION_LOGS,"RECORD_01: SBI INTERNAL AUDIT LEDGER  Mismatch: ₹500 crore unaccounted for in SGL balance with the PDO.  Note: Funds were utilized to finance ready-to-close agreements with other banks, credited directly to Harshad Mehta.  RECORD_02: BANK OF KARAD (BOK) - ACCOUNT A.D. NAROTTAM  Transaction: Transfer of ₹125 crore from proceeds of defrauded money, authorized by T.B. Ruia.  Finding: BOK maintained its ""Securities Account"" in the name of broker A.D. Narottam. Fraudulent transactions from Standard Chartered were routed here.  RECORD_03: METROPOLITAN CO-OP BANK (MCB) - BR ISSUANCE  Document: Two BRs of ₹19.89 crore and four BRs of ₹10 Lakhs.  Signatory: Kishan Kantilal Kapadia (Vice-President).  Verification: Zero backing of genuine government securities.  RECORD_04: ANDHRA BANK - SECURITIES ACCOUNT (Hiten Dalal)  Transaction: Funds fraudulently obtained from Standard Chartered were credited to this account.  RECORD_05 (NOISE): GROWMORE PETTY CASH LEDGER  Entry: ₹1,200 paid for office Diwali decorations.  Entry: ₹450 paid for typewriter ribbon replacement."
WITNESS_DEPOSITIONS__INTERROGATIONS,"DEPOSITION 01: Sucheta Dalal (Journalist, The Times of India)  Statement: ""In April 1992, two weeks before the news broke, I received a tip-off. A couple of SBI officials had spotted discrepancies in their books. The bank had quietly asked Harshad to return ₹500 crore. I realized he was using the Bank Receipt system to create fictitious liquidity. We published the exposé on April 23, 1992.""  DEPOSITION 02: C.S. Raje (Manager, Bank of Karad)  Statement: ""I signed the BRs and SGL Transfer Forms. I knew there were no government bonds backing them. We were instructed by the directors, Bhupendra Dalal and A.D. Narottam, to facilitate the brokers. It was a systemic practice.""  DEPOSITION 03: R. Sitaraman (SBI Junior Officer)  Statement: ""The banking environment was under pressure. We had to show profits on our investments. Mehta promised us higher rates of return. We transferred the money into his personal account, assuming he was buying securities for us from other banks. We trusted him.""  DEPOSITION 04 (NOISE): Ramesh (Tea Vendor outside Maker Chambers)  Statement: ""I don't know anything about crores of rupees. I just know Harshad bhai's office ordered 40 cutting chais every day at 3 PM. They always paid in exact change. It has been raining very heavily lately, so business is down."""
CRIMINAL_SYNDICATE_MAPPING__LEGAL_FALLOUT,"Following the CBI investigation, massive legal action was initiated.  Arrests: Harshad Mehta and his brothers were arrested by the CBI on November 9, 1992, for misappropriating more than 2.8 million shares of about 90 companies. He was charged with 72 criminal offences, and over 600 civil suits were filed against him.  Standard Chartered Fraud Convictions: In a related trial, the special CBI court convicted brokers Hiten Dalal, Kishan Kapadia, Sudhakar Ail, C.S. Raje, S. Ramaswamy, and Santosh Mulgaonkar, sentencing them to rigorous imprisonment and fines.  Institutional Collapse: Both the Bank of Karad and the Metropolitan Co-operative Bank collapsed and went into liquidation owing to the scam. The chairman of Vijaya Bank committed suicide in the aftermath.  Systemic Reforms: The scam exposed inherent loopholes, leading to a completely reformed system of stock transactions. The Securities and Exchange Board of India (SEBI) was given statutory power to regulate the markets, and the push for Demat (electronic) trading to replace physical share certificates began.  Subject Fate: Harshad Mehta remained under criminal custody in Thane prison. He died following a brief heart ailment at the age of 47 on December 31, 2001."
OPEN_SOURCE__MARKET_GRAPEVINE_INTELLIGENCE_BULLETIN_BOARDS,"BROKER_NET_MESSAGE_ID_9921: ""Big Bull is unstoppable. ACC will cross 10,000. Buy everything he touches. The banks are giving him a blank chequebook.""  BROKER_NET_MESSAGE_ID_9922: ""Bear cartel is sweating. Manu Manek is liquidating real estate to cover his short margins. If the index doesn't drop by Friday, the cartel is finished.""  BROKER_NET_MESSAGE_ID_9923 (NOISE): ""Does anyone have a contact for a good astrologer in South Bombay? My daughter is getting married next month, need to fix a date.""  BROKER_NET_MESSAGE_ID_9924: ""Rumor on Dalal Street: SBI treasury is short ₹500 Cr. RBI inspectors were seen at the fort branch. Pull your money out of Growmore now. The music is about to stop.""  [END OF DOSSIER]"
